"","dataset","model","fog","program","delta_AICc","tip_fog_as_fraction_trait_mean","tip_variance_divided_by_tree_plus_tip_variance","sigma.sq","sigma.sq.me","other_param","ntax","treeheight"
"43","AlencarEtAl_log_tempK","BM1","none","ouwie",322.914234611549,0,NA,1.42893249710913e-05,0,NA,663,83.4922160045
"44","AlencarEtAl_log_tempK","EB","none","geiger",324.936414797095,0,0,1.42940471607268e-05,0,-1e-06,663,83.4922160045
"45","AlencarEtAl_log_tempK","white","only","geiger",845.818045784346,0.00380804382914199,1,0,0.000467315358681616,NA,663,83.4922160045
"46","AlencarEtAl_log_topo_complexity","kappa","estimate","geiger",0,0.467655179139972,0.442966388247668,0.0645463446185369,0.735610768906017,0.184203141991133,662,83.4922160045
"47","AlencarEtAl_log_topo_complexity","BM","estimate","geiger",14.080352970331,0.481154629603295,0.507722163588297,0.010409381261459,0.778692370181187,NA,662,83.4922160045
"48","AlencarEtAl_log_topo_complexity","BM1","estimate","ouwie",14.0803534955594,0.424581383650639,NA,0.010410770279733,0.606343152890347,NA,662,83.4922160045
"49","AlencarEtAl_log_topo_complexity","OU1","estimate","ouwie",14.8341450813145,0.415463969018041,NA,0.0147953831343334,0.580581660363963,NA,662,83.4922160045
"50","AlencarEtAl_log_topo_complexity","EB","estimate","geiger",16.1049273610506,0.481150764999344,0.507696362031527,0.0104107595220298,0.7786798614144,-1.00232926319062e-06,662,83.4922160045
"51","AlencarEtAl_log_topo_complexity","kappa","none","geiger",89.6260376049011,0,0,0.395139194067773,0,2.17285147933207e-209,662,83.4922160045
"52","AlencarEtAl_log_topo_complexity","OU","none","geiger",131.183174034628,0,0,0.402854528791378,0,0.166437925236989,662,83.4922160045
"53","AlencarEtAl_log_topo_complexity","OU","estimate","geiger",131.183174034628,0,0,0.402854528791378,0,0.166437925236989,662,83.4922160045
"54","AlencarEtAl_log_topo_complexity","OU1","none","ouwie",131.183182138744,0,NA,0.402843459970881,0,NA,662,83.4922160045
"55","AlencarEtAl_log_topo_complexity","white","only","geiger",169.323646511155,0.58605616620116,1,0,1.15524756323592,NA,662,83.4922160045
"56","AlencarEtAl_log_topo_complexity","delta","estimate","geiger",173.366319903568,0.565288919205587,1,1.29264453730075e-17,1.07482442399693,3.89094734673279e-214,662,83.4922160045
"57","AlencarEtAl_log_topo_complexity","delta","none","geiger",382.386956986527,0,0,0.04608988159578,0,2.99999892847444,662,83.4922160045
"58","AlencarEtAl_log_topo_complexity","BM","none","geiger",502.359851894935,0,0,0.128061453259103,0,NA,662,83.4922160045
"59","AlencarEtAl_log_topo_complexity","BM1","none","ouwie",502.360017784117,0,NA,0.128047789173955,0,NA,662,83.4922160045
"60","AlencarEtAl_log_topo_complexity","EB","none","geiger",504.382805055636,0,0,0.128072112424047,0,-1.00000083534157e-06,662,83.4922160045
"61","caniformia","kappa","none","geiger",0,0,0,0.162977453162847,0,0.584916084334828,135,48.899999997
"62","caniformia","kappa","estimate","geiger",2.12448619976806,1.00760713722954e-106,2.02859367243438e-212,0.162976728982715,5.37516808203623e-212,0.584919193703843,135,48.899999997
"63","caniformia","BM","estimate","geiger",5.94424697781142,0.20979707862336,0.0622669586545497,0.0980007962154769,0.23302818466045,NA,135,48.899999997
"64","caniformia","BM1","estimate","ouwie",5.94424854925501,0.101305112684186,NA,0.098002905739338,0.0543340786371233,NA,135,48.899999997
"65","caniformia","delta","estimate","geiger",8.06706371645475,0.210079018467346,0.0616406512253803,0.0998586905194203,0.233654924332108,0.977753482005804,135,48.899999997
"66","caniformia","OU1","estimate","ouwie",8.06873272208264,0.101278862368474,NA,0.0979943098367396,0.0543059240476916,NA,135,48.899999997
"67","caniformia","OU","estimate","geiger",8.06873317862903,0.209797143305461,0.0622694500590243,0.0980007732887709,0.233028328349342,6.26538004730246e-15,135,48.899999997
"68","caniformia","BM1","none","ouwie",10.4944287699067,0,NA,0.123525617901029,0,NA,135,48.899999997
"69","caniformia","BM","none","geiger",10.4944581090332,0,0,0.123530684816954,0,NA,135,48.899999997
"70","caniformia","OU","none","geiger",11.9338112590024,0,0,0.131071331265486,0,0.00807428497213079,135,48.899999997
"71","caniformia","OU1","none","ouwie",11.9338136036814,0,NA,0.131089440084843,0,NA,135,48.899999997
"72","caniformia","delta","none","geiger",12.1067036284028,0,0,0.0917578503038423,0,1.39867845460904,135,48.899999997
"73","caniformia","EB","none","geiger",12.5868342671192,0,0,0.123536302466309,0,-1e-06,135,48.899999997
"74","caniformia","EB","estimate","geiger",14.7113204679432,1.3601283899113e-51,2.2140448946693e-102,0.123536320279112,9.79420952395743e-102,-1e-06,135,48.899999997
"75","caniformia","white","only","geiger",266.170923021378,0.945169930030539,1,0,4.72965400999336,NA,135,48.899999997
"76","carnivores","BM","none","geiger",0,0,0,0.0747412414934553,0,NA,16,59.2
"77","carnivores","BM1","none","ouwie",1.56960823005647e-07,0,NA,0.0747490798603933,0,NA,16,59.2
"78","carnivores","kappa","none","geiger",2.17667106983778,0,0,0.390282154338278,0,0.435585415344087,16,59.2
"79","carnivores","delta","none","geiger",3.00194554138145,0,0,0.0683056333281768,0,1.24952565750291,16,59.2
"80","carnivores","EB","none","geiger",3.07142677620652,0,0,0.0839049379887265,0,-0.00306048513904411,16,59.2
"81","carnivores","OU1","none","ouwie",3.07692306845483,0,NA,0.0747423402011713,0,NA,16,59.2
"82","carnivores","BM","estimate","geiger",3.07692307692308,1.29059095066647e-97,2.27038440448238e-194,0.0747412431151904,7.90483303894462e-194,NA,16,59.2
"83","carnivores","OU","none","geiger",3.07692307692308,0,NA,0.0747412417143079,0,2.03773445123736e-215,16,59.2
"84","carnivores","BM1","estimate","ouwie",3.07692314596399,1.45158430852349e-05,NA,0.0747463603065757,1e-09,NA,16,59.2
"85","carnivores","white","only","geiger",4.89035597868819,0.975088100035459,1,0,4.51235420432311,NA,16,59.2
"86","carnivores","kappa","estimate","geiger",5.81303470617864,0.000167474174262799,3.53358366568972e-08,0.390280700428327,1.3311014624271e-07,0.43558713005279,16,59.2
"87","carnivores","delta","estimate","geiger",6.63830917774494,0.000205177210909472,6.02219745991037e-08,0.0683056274541629,1.99789984901773e-07,1.24952550907174,16,59.2
"88","carnivores","EB","estimate","geiger",6.70779041255003,1.75436781266613e-85,4.13059322334512e-170,0.0839051673865062,1.46068568043062e-169,-0.00306058786738388,16,59.2
"89","carnivores","OU1","estimate","ouwie",6.71328670163219,1.45158430852349e-05,NA,0.0747427630199092,1e-09,NA,16,59.2
